username,white_wins,black_wins
alexander1974,0,1
alexander99trg,0,1
alexanderar1977,0,1
alexanderbtc,0,1
alexanderchessu,0,1
alexanderx,0,1
alexandr2017,0,1
alexandrs,0,1
alexandrsolodovnik,0,1
alexc5325,0,1
alexdp777,0,1
alexis_1983,0,1
alexmerak,0,1
alexusa,0,1
alexxflow91,0,1
alexxskander,0,1
alfiereloco,0,1
alfildetroya,0,1
alfio,0,1
alfredenewman,0,1
alfredo12321,0,1
alfredo17,0,1
alfredo1979,0,1
ali013,0,1
alifargggg,0,1
alimehrabi,0,1
alin86,0,1
aliraqy,0,1
alireza3311,0,1
alireza_khamseh,0,1
alivalizadeh,0,1
alizali,0,1
aljaci,0,1
aljndrdch,0,1
aljon1,0,1
alkeal,0,1
alkhan,0,1
allypallyy94,0,1
almanya_online,0,1
alnimur,0,1
aloe78,0,1
aloneshadow,0,1
alpay_o,0,1
alpheus23,0,1
alpv,0,1
altaets,0,1
altayuraloff,0,1
alwi,0,1
amaral22,0,1
amateur2014,0,1
amazighyoughorta,0,1
amerchan,0,1
amidou,0,1
amin99,0,1
amir066,0,1
amir337,0,1
amirhkooh,0,1
amithashetty,0,1
amitshrivastav,0,1
amomchilov,0,1
amor-fati,0,1
amplon,0,1
amro16,0,1
an55,0,1
anandanpaldurai,0,1
anatol1984,0,1
andersongot,0,1
andi74,0,1
andicanrac,0,1
andrealox,0,1
andreavcp,0,1
andrei70ster,0,1
andreican,0,1
andrew-rus-kursk,0,1
andrew55,0,1
andrey111111,0,1
andrey1993,0,1
andrey33,0,1
andrey_shans,0,1
andriuxa-80,0,1
androsov,0,1
andychem70,0,1
aneses,0,1
ang3l-doz3,0,1
angelasturias,0,1
angelfire,0,1
angelica13,0,1
angelinric,0,1
angelo701,0,1
angelo76,0,1
angelpov,0,1
anjeneyar,0,1
anmjr,0,1
annie94,0,1
anonidark,0,1
anonymous_enemy,0,1
anoona,0,1
anopows,0,1
ansjovis86,0,1
antagui,0,1
antman724,0,1
antnishu,0,1
antoine_levinbal,0,1
antoinepetrov,0,1
anton_kaktus,0,1
antoniovictortg,0,1
antoniusblock76,0,1
antonydoytchev,0,1
anvar1995,0,1
anyckin,0,1
anz17,0,1
apazovich,0,1
apicots,0,1
apollonic,0,1
apostolovo72,0,1
apple99,0,1
applepie5453,0,1
apu3,0,1
aquileni,0,1
arabboy,0,1
arad1948,0,1
araratjan,0,1
arashad,0,1
arashrezaie,0,1
arbren,0,1
archimedes3000,0,1
architpatel,0,1
ardacankurt,0,1
ardiansyah_vr46,0,1
arfanssianaklangitt,0,1
arfhan,0,1
arg_ks,0,1
argentariy,0,1
argrishin,0,1
arian95,0,1
arielatom,0,1
arjan1967,0,1
arjunshenoyk,0,1
arkan1212,0,1
armandov777,0,1
armansoroush,0,1
armelin7,0,1
armo96,0,1
armos,0,1
arroyon,0,1
arsenioma,0,1
arsura,0,1
artem2008,0,1
artematonot,0,1
artemychbutchenko,0,1
arthana,0,1
artsyd,0,1
artur799,0,1
arturopalacio,0,1
arukazu,0,1
as1204gj,0,1
asghar70,0,1
ashis_ch,0,1
ashishbarda,0,1
asiantim09,0,1
asilda,0,1
asinusumut,0,1
askesis,0,1
aswood,0,1
asxetilas,0,1
atayi,0,1
atosaur,0,1
atreblabo,0,1
attemptedbanana,0,1
atterrisques,0,1
atvars66,0,1
audiot,0,1
aufhebung036,0,1
augusto09,0,1
augustus33,0,1
aungphyominarsam,0,1
aurelianorm,0,1
aurelio890,0,1
aureliosaavedra,0,1
auygurbalik,0,1
avallanche,0,1
avas,0,1
avaysberg,0,1
avb123,0,1
avestruz,0,1
avichal,0,1
avill050,0,1
avivatico2,0,1
avm1979,0,1
avolt,0,1
awangkoteng,0,1
awaretenacious,0,1
awesome_aza,0,1
axe9,0,1
axelxdxd,0,1
axouu,0,1
aycockd1,0,1
ayman78,0,1
aynaz22,0,1
ayungputra,0,1
azdynr,0,1
aziz_nv,0,1
azizhoca,0,1
aztecking35,0,1
azur0609,0,1
b3nszy,0,1
baal19,0,1
bababird,0,1
babadouk,0,1
babychess3,0,1
baccola89,0,1
back2basics,0,1
backrosky,0,1
badbishopjones,0,1
baebraham,0,1
baep,0,1
bagelsfu,0,1
bagram,0,1
bahman20177,0,1
bahram123,0,1
baleful,0,1
balkarec,0,1
bambargera,0,1
banana-kun,0,1
banana_boat,0,1
banco,0,1
bandessz,0,1
banem,0,1
banga,0,1
bano,0,1
bappy6465,0,1
baran-41,0,1
bardamu31,0,1
barnak,0,1
baroja,0,1
bartoszgala,0,1
bartsimpson6,0,1
bash0707,0,1
basil726,0,1
basillio88,0,1
bassem1963,0,1
bastian2009,0,1
bastim,0,1
batdk59,0,1
batmangambit,0,1
batya229,0,1
bav016,0,1
bayabaya,0,1
baykus,0,1
bazinga51,0,1
bbmoro,0,1
bchessl,0,1
bchron,0,1
bear_1102,0,1
bearwolfff,0,1
beata321,0,1
beetail,0,1
beezeman1,0,1
behnam2523,0,1
behpour-shi,0,1
belikemike,0,1
beliskocacoglu,0,1
bellyscratcher,0,1
belphegor,0,1
ben1181,0,1
bendomo,0,1
benjamimh,0,1
benjaweiner,0,1
benmakhlouf_yns,0,1
benno8,0,1
berdde,0,1
berlioz52,0,1
beroes,0,1
berreta,0,1
bert9999,0,1
beshoysam1,0,1
bestiaparda,0,1
betopatruca,0,1
beuz,0,1
bezumecvasya,0,1
bezzer,0,1
bezzy3004,0,1
bhaa,0,1
bhautik2,0,1
bhuvi0372,0,1
bichodoido,0,1
